Term	Instance	Annotation
安全	在相對安全的「自動停車」領域，來自台灣的歐特明將 AI 感知與辨識系統應用於	positive
安全	政府也建立起「產業出題 x 人才解題」的機制，讓產業與新創能攜手合作，邀請醫療生技、資訊服務、電商廣告、人力資源、監控安全、物聯網等重點產業，提出 AI 轉型需求，並媒合團隊解題。	positive
安全	也針對建置設備和無線通信的過程中可能出現的安全問題，點出關鍵並提對策。	positive
安全	即使沒有內憂外患，家園就一定安全了嗎？	negative
安全	在一連串前所未有的大自然災難威脅地球之後，全世界的領導人聚首，一同創造出一套複雜的衛星網路，來控制全球氣候及保護全人類的安全。	 positive
安全	過去因為要鑑定死亡不容易，導至有多起活埋的慘劇，甚至還有安全棺材的設計，可是現代醫學的進步，讓許多瀕危的病人都可以倚靠各種急救和維生水段苟延殘喘，甚至成了植物人都能再活個幾十年。	positive
安全	此篇研究於2020年8月發表在第29屆USENIX安全研討會（29th USENIX Security Symposium）。	neutral
安全	用擾動的技術來欺騙人臉辨識系統，雖然可以保護照片隱私，但也可以欺騙其它的辨識系統，所以也帶來許多安全的隱憂。	negative
安全	現在許多人工智慧系統可以快速且精準的偵測人臉，並辨識其身分，雖然可以應用在許多有封閉網路的安全系統上，例如保安系統、海關自動通關系統等，但也容易造成使用者隱私洩漏的疑慮。	negative
安全	」梅克爾是個務實的人，一方面和中國的電信巨頭華為談判，另一方面加強德國政府對電信設備供應商的審查，並界定德國數據的安全風險。	positive
安全	即便如此，客戶為了保護他的產能權益，都會浮報一些作為安全量。	negative
安全	台積電之所以「護國」：具備非常關鍵性的技術，現代進步國家都需要它，日常生活、工商業及國家安全防衛都少不了它，並且，它幾乎是獨占性或是處於絕對優勢，難以有替代性。	positive
安全	建基於個人生存安全及精神滿足慾望的人性需求，資本主義有著看似完美的自我循環，但只要意識到它的重心、動腦筋去解構	negative
安全	預計到2030年，中國的中央政府會投入大量資金打造價值約1500億美元的人工智慧產業，其中大部分用於強化國內安全。	positive
安全	此報告呼籲人工智慧研究人員在他們開發的技術中建立防護措施，同時要更公開討論潛在的安全與防護問題。	neutral
安全	古希臘人深知，不論是想像或真實存在，這些以自然為形體的人型機械和其他人造物品，若非安全無害，要不就是深具危險性；它們能用於勞務、性愛、娛樂，或是宗教用途，甚至能對人造成痛苦或致人於死。	negative
安全	如果我們從美中科技戰有任何心得，那就是科技戰將成為貿易、經濟、國安的核心，掌握關鍵科技就是發展經濟的契機、也是國家安全的無形防護，而誰能努力爭取最大幅度的科技與創新，就決定了下一個世代的位置。	positive
安全	科技化養殖除了讓漁民可以更精準的控制養殖水質，降低成本浪費，也能全程監測水產品的成長過程，提供給消費者更安全的食物，實踐「實在數據、食在健康」的願景。	positive
安全	他說手術唯一的顯著不利條件是有1％到2％的感染機率，除此以外安全無虞。	positive
安全	雖然前面說到科技的進步協助創造更高的生產力，以及人類的福祉，但是任何新的工具或事物也會帶來新的問題，諸如網路安全問題、基因改造的道德問題、AI帶來的失業問題，或是日益嚴重的全球暖化、環境破壞、老齡化社會問題等等，這些也都等待人們用更創新有效的方式去解決。 neutral	negative
